Boat Type,Manufacturer,Type,Year Built,Length,Width,Material,Number of views last 7 days,EUR_price,Country,City,Price_groub,Views Performance
Motor Yacht,Bayliner power boats,"Used boat,Unleaded",1992,7.7,2.46,Plastic,3263,15198.0,Switzerland, Le Landeron (NE),Cheap (less than 44290),Good (more than 170)
Hardtop,Princess power boats,"Used boat,Diesel",1979,11.12,3.88,GRP,2432,35700.0,Switzerland, Neuenburgersee ,Cheap (less than 44290),Good (more than 170)
Bowrider,Windy power boats,"Used boat,Diesel",2002,12.35,3.48,GRP,2261,128418.0,Switzerland, Lago Maggiore ,Expensive (more than 250000),Good (more than 170)
Hardtop,Pershing power boats,"Used boat,Diesel",2009,20.3,5.2,GRP,2154,949000.0,Other,None,Expensive (more than 250000),Good (more than 170)
Sport Boat,Sea Ray power boats,"Used boat,Unleaded",1993,6.14,2.34,Plastic,2026,20298.0,Switzerland, Murtensee ,Cheap (less than 44290),Good (more than 170)
Cabin Boat,Viper power boats,"Used boat,Unleaded",2014,6.65,2.3,GRP,1970,49470.0,Switzerland, Horn ,Medium (44290-250000),Good (more than 170)
Sport Boat,Tullio Abbate power boats,"Used boat,Unleaded",1980,6.0,2.1,GRP,1917,5098.98,Switzerland, Lake of Zurich ,Cheap (less than 44290),Good (more than 170)
Sport Boat,Correct Craft power boats,"Used boat,Unleaded",2005,6.4,2.31,GRP,1834,36720.0,Switzerland, Lago Maggiore ,Cheap (less than 44290),Good (more than 170)
Sport Boat,Baha power boats,"Used boat,Unleaded",1995,6.8,2.38,GRP,1831,6630.0,Other,None,Cheap (less than 44290),Good (more than 170)
Cabin Boat,Draco power boats,"Used boat,Unleaded",1980,6.2,2.45,GRP,1804,3876.0,Switzerland, Walensee ,Cheap (less than 44290),Good (more than 170)
Hardtop,BÃ©nÃ©teau power boats,"Used boat,Diesel",2016,13.15,3.96,GRP,1780,357000.0,Switzerland, Lake Geneva ,Expensive (more than 250000),Good (more than 170)
Sport Boat,Bavaria power boats,"new boat from stock,Unleaded",2020,9.31,2.99,GRP,1710,159359.0,Switzerland, Lake Constance ,Expensive (more than 250000),Good (more than 170)
Hardtop,BÃ©nÃ©teau power boats,"Display Model,Diesel",2019,3.35,9.95,GRP,1700,209000.0,Germany, Baden-W¼rttemberg ,Expensive (more than 250000),Good (more than 170)
Motor Yacht,De Boarnstream power boats,"Used boat,Diesel",2006,10.7,3.65,Steel,1621,139000.0,Germany, Mosel ,Expensive (more than 250000),Good (more than 170)
Hardtop,Princess power boats,"Used boat,Diesel",2010,13.86,3.98,GRP,1461,339000.0,Croatia(Hrvatska), Kroatien ,Expensive (more than 250000),Good (more than 170)
Fishing Boat,Smartliner power boats,new boat on order,2020,6.28,2.24,GRP,1430,27336.0,Switzerland, Lake Geneva ,Cheap (less than 44290),Good (more than 170)
Cabin Boat,Stama power boats,"Used boat,Diesel",2009,12.0,3.6,Plastic,1414,121380.0,Switzerland, Murtensee ,Expensive (more than 250000),Good (more than 170)
Cabin Boat,Fairline power boats,"Used boat,Unleaded",1990,10.04,3.42,GRP,1386,56100.0,Switzerland, Altendorf SZ ,Medium (44290-250000),Good (more than 170)
Sport Boat,Viper power boats,"Used boat,Unleaded",2007,7.25,2.57,GRP,1351,37000.0,Germany, Berlin ,Cheap (less than 44290),Good (more than 170)
Motor Yacht,Windy power boats,"Used boat,Unleaded",1994,9.9,3.45,GRP,1319,96900.0,Switzerland, Solothurn ,Expensive (more than 250000),Good (more than 170)
Cabin Boat,Princess power boats,Used boat,1974,7.2,2.7,GRP,1299,5100.0,Switzerland, Rhein ,Cheap (less than 44290),Good (more than 170)
